Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
K02,FAM,,Unkn,,,29.63695193,29.63695193,0,NaN,NaN,NaN,0,60,
K03,FAM,,Unkn,,,30.56600259,30.56600259,0,NaN,NaN,NaN,0,60,
K04,FAM,,Unkn,,,30.43016749,30.43016749,0,NaN,NaN,NaN,0,60,
K05,FAM,,Unkn,,,29.74491358,29.74491358,0,NaN,NaN,NaN,0,60,
K06,FAM,,Unkn,,,30.12927571,30.12927571,0,NaN,NaN,NaN,0,60,
K07,FAM,,Unkn,,,31.1624973,31.1624973,0,NaN,NaN,NaN,0,60,
K08,FAM,,Unkn,,,31.69797628,31.69797628,0,NaN,NaN,NaN,0,60,
K09,FAM,,Unkn,,,30.70437269,30.70437269,0,NaN,NaN,NaN,0,60,
K10,FAM,,Unkn,,,32.28443623,32.28443623,0,NaN,NaN,NaN,0,60,
K11,FAM,,Unkn,,,30.13087257,30.13087257,0,NaN,NaN,NaN,0,60,
K12,FAM,,Unkn,,,29.70207603,29.70207603,0,NaN,NaN,NaN,0,60,
K13,FAM,,Unkn,,,30.20744833,30.20744833,0,NaN,NaN,NaN,0,60,
K14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
K15,FAM,,Unkn,,,29.33217088,29.33217088,0,NaN,NaN,NaN,0,60,
K16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
K17,FAM,,Unkn,,,30.28523155,30.28523155,0,NaN,NaN,NaN,0,60,
K18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
K19,FAM,,Unkn,,,29.85224611,29.85224611,0,NaN,NaN,NaN,0,60,
K20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
K21,FAM,,Unkn,,,36.10608601,36.10608601,0,NaN,NaN,NaN,0,60,
K22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
K23,FAM,,Unkn,,,29.64482204,29.64482204,0,NaN,NaN,NaN,0,60,
K24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L01,FAM,,Unkn,,,29.83332823,29.83332823,0,NaN,NaN,NaN,0,60,
L02,FAM,,Unkn,,,30.12151919,30.12151919,0,NaN,NaN,NaN,0,60,
L03,FAM,,Unkn,,,30.87253089,30.87253089,0,NaN,NaN,NaN,0,60,
L04,FAM,,Unkn,,,30.20194553,30.20194553,0,NaN,NaN,NaN,0,60,
L05,FAM,,Unkn,,,29.78000107,29.78000107,0,NaN,NaN,NaN,0,60,
L06,FAM,,Unkn,,,30.08141755,30.08141755,0,NaN,NaN,NaN,0,60,
L07,FAM,,Unkn,,,31.72076959,31.72076959,0,NaN,NaN,NaN,0,60,
L08,FAM,,Unkn,,,31.54720707,31.54720707,0,NaN,NaN,NaN,0,60,
L09,FAM,,Unkn,,,31.03104456,31.03104456,0,NaN,NaN,NaN,0,60,
L10,FAM,,Unkn,,,32.66568026,32.66568026,0,NaN,NaN,NaN,0,60,
L11,FAM,,Unkn,,,30.78140928,30.78140928,0,NaN,NaN,NaN,0,60,
L12,FAM,,Unkn,,,29.97243472,29.97243472,0,NaN,NaN,NaN,0,60,
L13,FAM,,Unkn,,,30.15408272,30.15408272,0,NaN,NaN,NaN,0,60,
L14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L15,FAM,,Unkn,,,29.50478341,29.50478341,0,NaN,NaN,NaN,0,60,
L16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L17,FAM,,Unkn,,,30.37999574,30.37999574,0,NaN,NaN,NaN,0,60,
L18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L19,FAM,,Unkn,,,29.87222906,29.87222906,0,NaN,NaN,NaN,0,60,
L20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L21,FAM,,Unkn,,,35.42744153,35.42744153,0,NaN,NaN,NaN,0,60,
L22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
L23,FAM,,Unkn,,,29.97358794,29.97358794,0,NaN,NaN,NaN,0,60,
L24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
M01,FAM,,Unkn,,,30.37584157,30.37584157,0,NaN,NaN,NaN,0,60,
M02,FAM,,Unkn,,,30.34852828,30.34852828,0,NaN,NaN,NaN,0,60,
M03,FAM,,Unkn,,,31.36555104,31.36555104,0,NaN,NaN,NaN,0,60,
M04,FAM,,Unkn,,,31.04673254,31.04673254,0,NaN,NaN,NaN,0,60,
M05,FAM,,Unkn,,,30.34555209,30.34555209,0,NaN,NaN,NaN,0,60,
M06,FAM,,Unkn,,,30.75745547,30.75745547,0,NaN,NaN,NaN,0,60,
M07,FAM,,Unkn,,,32.51586531,32.51586531,0,NaN,NaN,NaN,0,60,
M08,FAM,,Unkn,,,32.87678682,32.87678682,0,NaN,NaN,NaN,0,60,
M09,FAM,,Unkn,,,32.68786574,32.68786574,0,NaN,NaN,NaN,0,60,
M10,FAM,,Unkn,,,34.46782804,34.46782804,0,NaN,NaN,NaN,0,60,
M11,FAM,,Unkn,,,31.28771506,31.28771506,0,NaN,NaN,NaN,0,60,
M12,FAM,,Unkn,,,31.39759606,31.39759606,0,NaN,NaN,NaN,0,60,
M13,FAM,,Unkn,,,30.73837593,30.73837593,0,NaN,NaN,NaN,0,60,
M14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
M15,FAM,,Unkn,,,29.99368854,29.99368854,0,NaN,NaN,NaN,0,60,
M16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
M17,FAM,,Unkn,,,30.96528035,30.96528035,0,NaN,NaN,NaN,0,60,
M18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
M19,FAM,,Unkn,,,31.60727435,31.60727435,0,NaN,NaN,NaN,0,60,
M20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
M21,FAM,,Unkn,,,36.31210236,36.31210236,0,NaN,NaN,NaN,0,60,
