,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,D16,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D17,Texas Red,,Unkn,,,15.39,15.39,0.000,,,,0.00000,60.0,
,D18,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D19,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D20,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D23,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E03,Texas Red,,Unkn,,,20.78,20.78,0.000,,,,0.00000,60.0,
,E04,Texas Red,,Unkn,,,15.89,15.89,0.000,,,,0.00000,60.0,
,E05,Texas Red,,Unkn,,,15.52,15.52,0.000,,,,0.00000,60.0,
,E06,Texas Red,,Unkn,,,15.88,15.88,0.000,,,,0.00000,60.0,
,E07,Texas Red,,Unkn,,,25.92,25.92,0.000,,,,0.00000,60.0,
,E08,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E09,Texas Red,,Unkn,,,39.88,39.88,0.000,,,,0.00000,60.0,
,E10,Texas Red,,Unkn,,,17.80,17.80,0.000,,,,0.00000,60.0,
,E11,Texas Red,,Unkn,,,25.66,25.66,0.000,,,,0.00000,60.0,
,E12,Texas Red,,Unkn,,,16.80,16.80,0.000,,,,0.00000,60.0,
,E13,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E14,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E15,Texas Red,,Unkn,,,22.42,22.42,0.000,,,,0.00000,60.0,
,E16,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E17,Texas Red,,Unkn,,,20.73,20.73,0.000,,,,0.00000,60.0,
,E18,Texas Red,,Unkn,,,18.90,18.90,0.000,,,,0.00000,60.0,
,E19,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E20,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E23,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F01,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F03,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F04,Texas Red,,Unkn,,,10.81,10.81,0.000,,,,0.00000,60.0,
,F05,Texas Red,,Unkn,,,9.86,9.86,0.000,,,,0.00000,60.0,
,F06,Texas Red,,Unkn,,,16.95,16.95,0.000,,,,0.00000,60.0,
,F07,Texas Red,,Unkn,,,23.86,23.86,0.000,,,,0.00000,60.0,
,F08,Texas Red,,Unkn,,,22.88,22.88,0.000,,,,0.00000,60.0,
,F09,Texas Red,,Unkn,,,22.94,22.94,0.000,,,,0.00000,60.0,
,F10,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F11,Texas Red,,Unkn,,,20.66,20.66,0.000,,,,0.00000,60.0,
,F12,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F13,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F14,Texas Red,,Unkn,,,12.91,12.91,0.000,,,,0.00000,60.0,
,F15,Texas Red,,Unkn,,,21.54,21.54,0.000,,,,0.00000,60.0,
,F16,Texas Red,,Unkn,,,30.98,30.98,0.000,,,,0.00000,60.0,
,F17,Texas Red,,Unkn,,,19.39,19.39,0.000,,,,0.00000,60.0,
,F18,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F19,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F20,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F23,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G01,Texas Red,,Unkn,,,22.95,22.95,0.000,,,,0.00000,60.0,
,G02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G03,Texas Red,,Unkn,,,23.95,23.95,0.000,,,,0.00000,60.0,
,G04,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G05,Texas Red,,Unkn,,,23.49,23.49,0.000,,,,0.00000,60.0,
,G06,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G07,Texas Red,,Unkn,,,22.83,22.83,0.000,,,,0.00000,60.0,
,G08,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G09,Texas Red,,Unkn,,,25.57,25.57,0.000,,,,0.00000,60.0,
,G10,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G11,Texas Red,,Unkn,,,22.03,22.03,0.000,,,,0.00000,60.0,
,G12,Texas Red,,Unkn,,,23.94,23.94,0.000,,,,0.00000,60.0,
,G13,Texas Red,,Unkn,,,21.76,21.76,0.000,,,,0.00000,60.0,
,G14,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G15,Texas Red,,Unkn,,,24.14,24.14,0.000,,,,0.00000,60.0,
,G16,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G17,Texas Red,,Unkn,,,25.82,25.82,0.000,,,,0.00000,60.0,
,G18,Texas Red,,Unkn,,,24.78,24.78,0.000,,,,0.00000,60.0,
,G19,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G20,Texas Red,,Unkn,,,21.76,21.76,0.000,,,,0.00000,60.0,
,G21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G23,Texas Red,,Unkn,,,17.90,17.90,0.000,,,,0.00000,60.0,
,G24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H01,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H03,Texas Red,,Unkn,,,22.84,22.84,0.000,,,,0.00000,60.0,
,H04,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H05,Texas Red,,Unkn,,,22.93,22.93,0.000,,,,0.00000,60.0,
,H06,Texas Red,,Unkn,,,18.42,18.42,0.000,,,,0.00000,60.0,
,H07,Texas Red,,Unkn,,,25.51,25.51,0.000,,,,0.00000,60.0,
,H08,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H09,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
