Well,Fluor,Cq
G22,HEX,NaN
G23,HEX,NaN
G24,HEX,NaN
H01,HEX,28.75865241
H02,HEX,NaN
H03,HEX,28.35241792
H04,HEX,NaN
H05,HEX,28.10973354
H06,HEX,NaN
H07,HEX,28.42091153
H08,HEX,NaN
H09,HEX,27.77060793
H10,HEX,NaN
H11,HEX,28.84323216
H12,HEX,NaN
H13,HEX,27.78561254
H14,HEX,NaN
H15,HEX,29.88121103
H16,HEX,NaN
H17,HEX,27.88950941
H18,HEX,NaN
H19,HEX,29.10439122
H20,HEX,NaN
H21,HEX,NaN
H22,HEX,NaN
H23,HEX,NaN
H24,HEX,NaN
I01,HEX,28.45305726
I02,HEX,NaN
I03,HEX,28.45227398
I04,HEX,NaN
I05,HEX,28.10020143
I06,HEX,NaN
I07,HEX,28.38208245
I08,HEX,NaN
I09,HEX,27.87716407
I10,HEX,NaN
I11,HEX,28.68787777
I12,HEX,NaN
I13,HEX,27.46353464
I14,HEX,NaN
I15,HEX,29.70347094
I16,HEX,NaN
I17,HEX,27.7581325
I18,HEX,NaN
I19,HEX,28.7235048
I20,HEX,NaN
I21,HEX,NaN
I22,HEX,NaN
I23,HEX,NaN
I24,HEX,NaN
J01,HEX,28.73611194
J02,HEX,NaN
J03,HEX,28.48138112
J04,HEX,NaN
J05,HEX,28.10456861
J06,HEX,NaN
J07,HEX,28.37978828
J08,HEX,NaN
J09,HEX,27.65983647
J10,HEX,NaN
J11,HEX,28.75723881
J12,HEX,NaN
J13,HEX,27.82850991
J14,HEX,NaN
J15,HEX,29.84755261
J16,HEX,NaN
J17,HEX,27.91233421
J18,HEX,NaN
J19,HEX,29.1514269
J20,HEX,NaN
J21,HEX,NaN
J22,HEX,NaN
J23,HEX,NaN
J24,HEX,NaN
K01,HEX,28.62239589
K02,HEX,NaN
K03,HEX,28.50612733
K04,HEX,NaN
K05,HEX,27.95640257
K06,HEX,NaN
K07,HEX,28.33335965
K08,HEX,NaN
K09,HEX,27.71848169
K10,HEX,NaN
K11,HEX,28.78998508
K12,HEX,NaN
K13,HEX,27.91426522
K14,HEX,NaN
K15,HEX,29.71731177
K16,HEX,NaN
K17,HEX,27.76770662
K18,HEX,NaN
K19,HEX,28.58286928
K20,HEX,NaN
K21,HEX,NaN
K22,HEX,NaN
K23,HEX,NaN
K24,HEX,NaN
L01,HEX,28.79443942
L02,HEX,NaN
L03,HEX,28.58961577
L04,HEX,NaN
L05,HEX,28.1932165
L06,HEX,NaN
L07,HEX,28.4036613
L08,HEX,NaN
L09,HEX,27.97461538
L10,HEX,NaN
L11,HEX,28.94424579
L12,HEX,NaN
L13,HEX,27.9088242
L14,HEX,NaN
L15,HEX,29.82030974
L16,HEX,NaN
L17,HEX,28.03448807
L18,HEX,NaN
L19,HEX,29.12577799
L20,HEX,NaN
L21,HEX,NaN
L22,HEX,NaN
L23,HEX,NaN
L24,HEX,NaN
M01,HEX,27.47850268
M02,HEX,NaN
M03,HEX,27.1910507
M04,HEX,NaN
M05,HEX,26.52027092
M06,HEX,NaN
M07,HEX,26.68465083
M08,HEX,NaN
M09,HEX,26.65206699
